Hour,Variable_0,Variable_1,Variable_2,Variable_3,Variable_4,Variable_5,Variable_6,Variable_7,Variable_8,Variable_9,Variable_10,Variable_11,Variable_12,Variable_13,Variable_14,Variable_15
0,56,135,143,145,159,164.0,180.0,184.0,196.0,198.0,207.0,209.0,210.0,211.0,213.0,
1,56,135,145,159,164,169.0,180.0,196.0,198.0,207.0,208.0,209.0,210.0,211.0,213.0,
2,56,135,145,159,169,175.0,180.0,196.0,207.0,208.0,209.0,210.0,211.0,213.0,,
3,56,135,137,143,145,171.0,175.0,180.0,196.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0
4,14,56,135,137,145,148.0,164.0,169.0,196.0,207.0,209.0,210.0,211.0,212.0,213.0,
5,207,209,210,212,213,,,,,,,,,,,
6,56,130,131,148,171,180.0,196.0,207.0,209.0,210.0,212.0,213.0,,,,
7,148,207,209,210,212,213.0,,,,,,,,,,
8,13,56,58,122,132,144.0,145.0,148.0,184.0,196.0,207.0,209.0,210.0,212.0,213.0,
9,23,56,122,132,135,144.0,145.0,148.0,180.0,184.0,196.0,207.0,209.0,210.0,212.0,213.0
10,22,56,122,132,133,144.0,145.0,148.0,190.0,196.0,205.0,207.0,209.0,212.0,213.0,
11,56,131,132,135,144,145.0,148.0,164.0,180.0,193.0,196.0,207.0,209.0,212.0,213.0,
12,19,56,60,133,135,137.0,144.0,145.0,148.0,196.0,207.0,209.0,212.0,213.0,,
13,56,131,133,135,145,148.0,171.0,196.0,201.0,207.0,209.0,211.0,212.0,213.0,,
14,56,132,135,137,145,148.0,164.0,184.0,196.0,207.0,209.0,211.0,212.0,213.0,,
15,56,135,136,137,145,148.0,164.0,171.0,184.0,196.0,207.0,209.0,211.0,212.0,213.0,
16,136,164,207,209,211,212.0,213.0,,,,,,,,,
17,56,135,136,140,144,145.0,148.0,164.0,168.0,184.0,194.0,196.0,207.0,209.0,211.0,213.0
18,56,135,136,145,164,184.0,196.0,207.0,209.0,211.0,213.0,,,,,
19,164,207,209,211,213,,,,,,,,,,,
20,13,56,134,137,145,148.0,164.0,196.0,207.0,209.0,211.0,213.0,,,,
21,56,136,137,145,148,164.0,184.0,196.0,201.0,207.0,209.0,211.0,213.0,,,
22,56,135,145,164,171,200.0,201.0,207.0,208.0,209.0,211.0,213.0,,,,
23,56,135,137,145,164,175.0,184.0,196.0,200.0,207.0,209.0,210.0,211.0,213.0,,
